column,category,count,percent
gender,Male,3555,50.48
gender,Female,3488,49.52
SeniorCitizen,0,5901,83.79
SeniorCitizen,1,1142,16.21
Partner,No,3641,51.7
Partner,Yes,3402,48.3
Dependents,No,4933,70.04
Dependents,Yes,2110,29.96
PhoneService,Yes,6361,90.32
PhoneService,No,682,9.68
MultipleLines,No,3390,48.13
MultipleLines,Yes,2971,42.18
MultipleLines,No phone service,682,9.68
InternetService,Fiber optic,3096,43.96
InternetService,DSL,2421,34.37
InternetService,No,1526,21.67
OnlineSecurity,No,3498,49.67
OnlineSecurity,Yes,2019,28.67
OnlineSecurity,No internet service,1526,21.67
OnlineBackup,No,3088,43.84
OnlineBackup,Yes,2429,34.49
OnlineBackup,No internet service,1526,21.67
DeviceProtection,No,3095,43.94
DeviceProtection,Yes,2422,34.39
DeviceProtection,No internet service,1526,21.67
TechSupport,No,3473,49.31
TechSupport,Yes,2044,29.02
TechSupport,No internet service,1526,21.67
StreamingTV,No,2810,39.9
StreamingTV,Yes,2707,38.44
StreamingTV,No internet service,1526,21.67
StreamingMovies,No,2785,39.54
StreamingMovies,Yes,2732,38.79
StreamingMovies,No internet service,1526,21.67
Contract,Month-to-month,3875,55.02
Contract,Two year,1695,24.07
Contract,One year,1473,20.91
PaperlessBilling,Yes,4171,59.22
PaperlessBilling,No,2872,40.78
PaymentMethod,Electronic check,2365,33.58
PaymentMethod,Mailed check,1612,22.89
PaymentMethod,Bank transfer (automatic),1544,21.92
PaymentMethod,Credit card (automatic),1522,21.61
